resume_id,job_id,job_title,original_score,compound_score,score_difference,absolute_difference
R1,J1,Software Engineer,0.5290745496749878,0.5018445253372192,-0.027230024337768555,0.027230024337768555
R1,J2,Financial Analyst,0.17031711339950562,0.21541348099708557,0.045096367597579956,0.045096367597579956
R1,J3,Marketing Coordinator,0.3192038834095001,0.341445654630661,0.02224177122116089,0.02224177122116089
R1,J4,Clinical Data Analyst,0.32627159357070923,0.37584736943244934,0.04957577586174011,0.04957577586174011
R1,J5,Academic Advisor,0.33728983998298645,0.352763295173645,0.01547345519065857,0.01547345519065857
R2,J1,Software Engineer,0.5248363614082336,0.5437730550765991,0.01893669366836548,0.01893669366836548
R2,J2,Financial Analyst,0.16375744342803955,0.15306320786476135,-0.010694235563278198,0.010694235563278198
R2,J3,Marketing Coordinator,0.34761494398117065,0.32736125588417053,-0.020253688097000122,0.020253688097000122
R2,J4,Clinical Data Analyst,0.2939998209476471,0.31325089931488037,0.019251078367233276,0.019251078367233276
R2,J5,Academic Advisor,0.34222182631492615,0.3481261730194092,0.005904346704483032,0.005904346704483032
R3,J1,Software Engineer,0.3111516237258911,0.35104793310165405,0.03989630937576294,0.03989630937576294
R3,J2,Financial Analyst,0.3828791379928589,0.4012858271598816,0.018406689167022705,0.018406689167022705
R3,J3,Marketing Coordinator,0.3129928410053253,0.30391180515289307,-0.009081035852432251,0.009081035852432251
R3,J4,Clinical Data Analyst,0.35702475905418396,0.3858409523963928,0.028816193342208862,0.028816193342208862
R3,J5,Academic Advisor,0.3218082785606384,0.32791605591773987,0.00610777735710144,0.00610777735710144
R4,J1,Software Engineer,0.28995850682258606,0.29443061351776123,0.004472106695175171,0.004472106695175171
R4,J2,Financial Analyst,0.46112060546875,0.4762251377105713,0.015104532241821289,0.015104532241821289
R4,J3,Marketing Coordinator,0.29436105489730835,0.3242802619934082,0.029919207096099854,0.029919207096099854
R4,J4,Clinical Data Analyst,0.4717811942100525,0.5006284713745117,0.02884727716445923,0.02884727716445923
R4,J5,Academic Advisor,0.2740046977996826,0.3574140667915344,0.0834093689918518,0.0834093689918518
R5,J1,Software Engineer,0.2437303066253662,0.3085729479789734,0.06484264135360718,0.06484264135360718
R5,J2,Financial Analyst,0.1791931390762329,0.1737644076347351,-0.005428731441497803,0.005428731441497803
R5,J3,Marketing Coordinator,0.46365365386009216,0.46893376111984253,0.005280107259750366,0.005280107259750366
R5,J4,Clinical Data Analyst,0.2267170548439026,0.2578294575214386,0.03111240267753601,0.03111240267753601
R5,J5,Academic Advisor,0.30251795053482056,0.32510530948638916,0.022587358951568604,0.022587358951568604
R6,J1,Software Engineer,0.2570796608924866,0.2534891664981842,-0.003590494394302368,0.003590494394302368
R6,J2,Financial Analyst,0.18331289291381836,0.1699901819229126,-0.013322710990905762,0.013322710990905762
R6,J3,Marketing Coordinator,0.5100979208946228,0.5059537887573242,-0.004144132137298584,0.004144132137298584
R6,J4,Clinical Data Analyst,0.31213974952697754,0.34582701325416565,0.03368726372718811,0.03368726372718811
R6,J5,Academic Advisor,0.29534441232681274,0.2745802104473114,-0.020764201879501343,0.020764201879501343
R7,J1,Software Engineer,0.27125459909439087,0.24113774299621582,-0.03011685609817505,0.03011685609817505
R7,J2,Financial Analyst,0.33031165599823,0.3367026448249817,0.006390988826751709,0.006390988826751709
R7,J3,Marketing Coordinator,0.2038429081439972,0.19167527556419373,-0.012167632579803467,0.012167632579803467
R7,J4,Clinical Data Analyst,0.6404632925987244,0.5917993783950806,-0.0486639142036438,0.0486639142036438
R7,J5,Academic Advisor,0.29899826645851135,0.23745843768119812,-0.06153982877731323,0.06153982877731323
R8,J1,Software Engineer,0.20290827751159668,0.1785566210746765,-0.024351656436920166,0.024351656436920166
R8,J2,Financial Analyst,0.30082517862319946,0.3089086413383484,0.008083462715148926,0.008083462715148926
R8,J3,Marketing Coordinator,0.3361833095550537,0.3390650451183319,0.0028817355632781982,0.0028817355632781982
R8,J4,Clinical Data Analyst,0.5099520087242126,0.5806476473808289,0.07069563865661621,0.07069563865661621
R8,J5,Academic Advisor,0.343222439289093,0.3427269160747528,-0.00049552321434021,0.00049552321434021
R9,J1,Software Engineer,0.16307222843170166,0.16839958727359772,0.005327358841896057,0.005327358841896057
R9,J2,Financial Analyst,0.11047288030385971,0.08339913189411163,-0.027073748409748077,0.027073748409748077
R9,J3,Marketing Coordinator,0.3160431385040283,0.35321885347366333,0.03717571496963501,0.03717571496963501
R9,J4,Clinical Data Analyst,0.23296862840652466,0.21248629689216614,-0.02048233151435852,0.02048233151435852
R9,J5,Academic Advisor,0.3380226194858551,0.41228652000427246,0.07426390051841736,0.07426390051841736
R10,J1,Software Engineer,0.18788637220859528,0.2878795862197876,0.09999321401119232,0.09999321401119232
R10,J2,Financial Analyst,0.1761879175901413,0.18205583095550537,0.005867913365364075,0.005867913365364075
R10,J3,Marketing Coordinator,0.32645660638809204,0.3244249224662781,-0.002031683921813965,0.002031683921813965
R10,J4,Clinical Data Analyst,0.2560889422893524,0.2773197889328003,0.021230846643447876,0.021230846643447876
R10,J5,Academic Advisor,0.5068585276603699,0.48269280791282654,-0.024165719747543335,0.024165719747543335
